Fecha,Dolar
2023-05-26 13:00:19,4475
2023-05-26 13:00:32,4475
2023-05-26 13:00:42,4475
2023-05-26 13:00:46,4473.7
2023-05-26 13:01:15,4473.3636
2023-05-26 13:06:01,4473.2917
2023-05-26 13:06:16,4472.9615
2023-05-26 13:06:21,4472.1167
2023-05-26 13:06:24,4471.8237
2023-05-26 13:06:25,4471.5575
2023-05-26 13:06:38,4471.2929
2023-05-26 13:06:40,4471.0432
2023-05-26 13:06:43,4470.5563
2023-05-26 13:06:45,4470.334
2023-05-26 13:07:38,4470.1288
2023-05-26 13:08:09,4470.0037
2023-05-26 13:08:10,4469.8875
2023-05-26 13:09:13,4469.6283
2023-05-26 13:09:39,4469.6081
2023-05-26 13:09:41,4469.5891
2023-05-26 13:09:46,4469.4955
2023-05-26 13:10:17,4469.3386
2023-05-26 13:12:38,4469.328
2023-05-26 13:13:22,4469.3124
2023-05-26 13:14:22,4469.2779
2023-05-26 13:14:23,4469.2266
2023-05-26 13:14:24,4469.2113
2023-05-26 13:14:27,4469.2416
2023-05-26 13:14:28,4469.3098
2023-05-26 13:14:29,4469.3866
2023-05-26 13:14:36,4469.607
2023-05-26 13:14:38,4469.7107
2023-05-26 13:15:04,4469.8411
2023-05-26 13:15:27,4469.9384
2023-05-26 13:17:54,4469.9406
2023-05-26 13:19:06,4469.9238
2023-05-26 13:19:29,4469.9252
2023-05-26 13:20:02,4469.8774
2023-05-26 13:20:42,4469.8286
2023-05-26 13:21:52,4469.8315
2023-05-26 13:22:37,4469.124
2023-05-26 13:22:38,4469.0978
2023-05-26 13:22:39,4468.9991
2023-05-26 13:23:26,4468.9991
2023-05-26 13:24:22,4469.0106
2023-05-26 13:24:42,4468.9764
2023-05-26 13:24:46,4468.9229
2023-05-26 13:24:50,4468.8019
2023-05-26 13:24:53,4468.691
2023-05-26 13:24:59,4468.6453
2023-05-26 13:25:00,4468.5994
2023-05-26 13:25:01,4468.5103
2023-05-26 13:25:13,4468.4681
2023-05-26 13:25:15,4468.386
2023-05-26 13:25:16,4468.3452
2023-05-26 13:25:17,4468.3052
2023-05-26 13:25:20,4468.2659
2023-05-26 13:26:13,4468.2273
2023-05-26 13:26:23,4468.1895
2023-05-26 13:26:24,4467.6424
2023-05-26 13:26:25,4467.5843
2023-05-26 13:26:39,4467.4745
2023-05-26 13:26:41,4467.4227
2023-05-26 13:26:42,4467.3294
2023-05-26 13:26:58,4467.0019
2023-05-26 13:26:59,4466.8705
2023-05-26 13:27:14,4466.7111
2023-05-26 13:27:22,4466.6312
2023-05-26 13:27:31,4466.3881
2023-05-26 13:27:32,4466.3456
2023-05-26 13:27:33,4466.2029
2023-05-26 13:28:43,4465.9685
2023-05-26 13:28:44,4465.9371
2023-05-26 13:28:57,4465.8871
2023-05-26 13:29:11,4465.8504
2023-05-26 13:29:50,4465.6731
2023-05-26 13:29:52,4465.645
2023-05-26 13:29:54,4465.1907
2023-05-26 13:30:04,4465.168
2023-05-26 13:30:22,4465.13
2023-05-26 13:30:27,4465.108
2023-05-26 13:30:31,4465.0861
2023-05-26 13:30:36,4465.0645
2023-05-26 13:30:40,4465.0319
2023-05-26 13:31:17,4465.0109
2023-05-26 13:31:35,4464.9953
2023-05-26 13:31:40,4464.9845
2023-05-26 13:31:47,4464.9769
2023-05-26 13:31:48,4464.9654
2023-05-26 13:32:07,4464.9681
2023-05-26 13:32:14,4464.9735
2023-05-26 13:32:15,4464.9781
2023-05-26 13:32:16,4465.0125
2023-05-26 13:32:17,4465.0221
2023-05-26 13:32:18,4465.0316
2023-05-26 13:32:19,4465.0434
2023-05-26 13:32:43,4465.1633
2023-05-26 13:32:47,4465.1851
2023-05-26 13:32:48,4465.349
2023-05-26 13:32:49,4465.3741
2023-05-26 13:32:51,4465.399
2023-05-26 13:33:25,4465.4785
2023-05-26 13:33:30,4465.4981
2023-05-26 13:34:04,4465.5003
2023-05-26 13:34:05,4465.505
2023-05-26 13:34:16,4465.5113
2023-05-26 13:34:17,4465.5385
2023-05-26 13:34:44,4465.5673
2023-05-26 13:34:47,4465.5874
2023-05-26 13:34:59,4465.6072
2023-05-26 13:35:03,4465.8998
2023-05-26 13:35:14,4465.9196
2023-05-26 13:35:15,4465.9392
2023-05-26 13:35:16,4466.0055
2023-05-26 13:35:40,4466.0577
2023-05-26 13:35:41,4466.1708
2023-05-26 13:35:42,4466.2278
2023-05-26 13:35:54,4466.2565
2023-05-26 13:36:11,4466.2822
2023-05-26 13:36:13,4466.3582
2023-05-26 13:36:14,4466.4407
2023-05-26 13:36:15,4466.4748
2023-05-26 13:36:24,4467.0474
2023-05-26 13:36:27,4467.257
2023-05-26 13:36:28,4467.445
2023-05-26 13:36:29,4467.5877
2023-05-26 13:36:39,4467.679
2023-05-26 13:36:43,4467.7027
2023-05-26 13:36:46,4467.7261
2023-05-26 13:36:47,4467.7494
2023-05-26 13:36:48,4467.7956
2023-05-26 13:36:58,4467.8852
2023-05-26 13:37:01,4467.9234
2023-05-26 13:37:51,4468.0382
2023-05-26 13:37:59,4468.0754
2023-05-26 13:38:01,4468.114
2023-05-26 13:38:04,4468.481
2023-05-26 13:38:10,4468.5975
2023-05-26 13:38:11,4468.7766
2023-05-26 13:38:24,4469.1313
2023-05-26 13:39:34,4469.1611
2023-05-26 13:39:35,4469.2206
2023-05-26 13:39:59,4469.2512
2023-05-26 13:40:10,4469.2635
2023-05-26 13:40:34,4469.2819
2023-05-26 13:40:37,4469.3236
2023-05-26 13:40:43,4469.3794
2023-05-26 13:40:45,4469.4339
2023-05-26 13:40:48,4469.4531
2023-05-26 13:40:52,4469.5062
2023-05-26 13:41:11,4469.5153
2023-05-26 13:41:12,4469.5425
2023-05-26 13:41:13,4469.5515
2023-05-26 13:41:14,4469.5781
2023-05-26 13:41:15,4469.5869
2023-05-26 13:41:17,4469.5956
